ablation,framework,benchmark,variant,accuracy,avg_clips
ordering,SiLVR,M3Bench Robot,Relevance Fixed-7,40.8,7.0
ordering,SiLVR,M3Bench Robot,MMR Fixed-7,41.1,7.0
ordering,SiLVR,M3Bench Web,Relevance Fixed-7,55.9,7.0
ordering,SiLVR,M3Bench Web,MMR Fixed-7,56.7,7.0
ordering,SiLVR,VideoMME-Long,Relevance Fixed-7,56.9,7.0
ordering,SiLVR,VideoMME-Long,MMR Fixed-7,57.6,7.0
components,SiLVR,VideoMME-Long,Relevance Fixed-7,56.9,7.0
components,SiLVR,VideoMME-Long,MMR Fixed-7,57.6,7.0
components,SiLVR,VideoMME-Long,Relevance Calibrated,58.1,7.4
components,SiLVR,VideoMME-Long,DEC-K,58.6,7.2
candidate_construction,M3-Agent,M3Bench Robot,Max node,38.7,3.9
candidate_construction,M3-Agent,M3Bench Robot,DEC-K,40.0,3.9
candidate_construction,M3-Agent,M3Bench Web,Max node,56.7,4.1
candidate_construction,M3-Agent,M3Bench Web,DEC-K,57.3,4.1
candidate_construction,M3-Agent,VideoMME-Long,Max node,57.6,4.3
candidate_construction,M3-Agent,VideoMME-Long,DEC-K,58.4,4.3
