framework,method,benchmark,accuracy,avg_clips,questions
M3-Agent,Original,M3Bench Robot,30.7,1.7,1276
M3-Agent,Original,M3Bench Web,48.9,1.8,3214
M3-Agent,Original,VideoMME-Long,53.0,1.8,900
M3-Agent,Fixed-4,M3Bench Robot,38.4,3.9,1276
M3-Agent,Fixed-4,M3Bench Web,56.4,4.0,3214
M3-Agent,Fixed-4,VideoMME-Long,56.9,4.0,900
M3-Agent,Fixed-5,M3Bench Robot,38.9,4.8,1276
M3-Agent,Fixed-5,M3Bench Web,56.7,5.0,3214
M3-Agent,Fixed-5,VideoMME-Long,57.6,5.0,900
M3-Agent,Adaptive-k,M3Bench Robot,38.8,4.0,1276
M3-Agent,Adaptive-k,M3Bench Web,55.3,4.1,3214
M3-Agent,Adaptive-k,VideoMME-Long,57.9,4.1,900
M3-Agent,Adaptive-RAG,M3Bench Robot,38.3,4.0,1276
M3-Agent,Adaptive-RAG,M3Bench Web,55.1,4.2,3214
M3-Agent,Adaptive-RAG,VideoMME-Long,56.8,4.1,900
M3-Agent,DEC-K,M3Bench Robot,40.0,3.9,1276
M3-Agent,DEC-K,M3Bench Web,57.3,4.1,3214
M3-Agent,DEC-K,VideoMME-Long,58.4,4.3,900
SiLVR,Fixed-7,M3Bench Robot,40.8,7.0,1276
SiLVR,Fixed-7,M3Bench Web,55.9,7.0,3171
SiLVR,Fixed-7,VideoMME-Long,56.9,7.0,900
SiLVR,Fixed-8,M3Bench Robot,41.3,8.0,1276
SiLVR,Fixed-8,M3Bench Web,57.6,8.0,3171
SiLVR,Fixed-8,VideoMME-Long,58.0,8.0,900
SiLVR,Adaptive-k,M3Bench Robot,41.4,6.8,1276
SiLVR,Adaptive-k,M3Bench Web,56.1,6.9,3171
SiLVR,Adaptive-k,VideoMME-Long,56.2,7.2,900
SiLVR,Adaptive-RAG,M3Bench Robot,41.0,7.0,1276
SiLVR,Adaptive-RAG,M3Bench Web,56.3,7.2,3171
SiLVR,Adaptive-RAG,VideoMME-Long,57.2,7.1,900
SiLVR,DEC-K,M3Bench Robot,42.1,7.1,1276
SiLVR,DEC-K,M3Bench Web,56.9,7.1,3171
SiLVR,DEC-K,VideoMME-Long,58.6,7.2,900
